family,genus,species,authority,sp4,sp6,lifeform
Combretaceae,Combretum,cacoucia,Exell,COMC,COMBCA,LIANA
Combretaceae,Combretum,decandrum,Jacq.,COMD,COMBDE,LIANA
Combretaceae,Combretum,fruticosum,(Loefl.) Stuntz,COMF,COMBFR,LIANA
Combretaceae,Combretum,laxum,Jacq.,COML,COMBLA,LIANA
Combretaceae,Combretum,o Prionostemma???,NA,NA,COMBPR,LIANA
Myristicaceae,Compsoneura,capitellata,,,COMPCA,U
Myristicaceae,Compsoneura,sprucei,,,COMPSP,U
Euphorbiaceae,Conceveiba,pleiostemona,,,CONCPL,NA
Rutaceae,Conchocarpus,nicaraguensis,,,ANGONI,NA
Rubiaceae,Condaminea,corymbosa,,,CONDCO,NA
Connaraceae,Connarus,panamensis,Griseb.,CONP,CONNPA,LIANA
Connaraceae,Connarus,turczaninowii,Triana,CONT,CONNTU,LIANA
Combretaceae,Conocarpus,erectus,,,CON1ER,M
Melastomataceae,Conostegia,bracteata,Triana,CONB,CONOBR,S
Melastomataceae,Conostegia,cinnamomea,(Beurl.) Wurdack,CONC,CONOCI,S
Melastomataceae,Conostegia,cuatrecasii,,,CONOCU,NA
Melastomataceae,Conostegia,montana,,,CONOMO,NA
Melastomataceae,Conostegia,rufescens,,,CONORU,T
Melastomataceae,Conostegia,sp.1,NA,NA,CONO1,NA
Melastomataceae,Conostegia,speciosa,Naudin,CON1,CONOSP,S
Melastomataceae,Conostegia,xalapensis,,,CONOXA,U
Fabaceae:Caesal.,Copaifera,aromatica,,,COPAAR,M
Boraginaceae,Cordia,alliodora,(Ruiz & Pav.) Oken,CORA,CORDAL,T
Boraginaceae,Cordia,bicolor,A. DC.,CORB,CORDBI,T
Boraginaceae,Cordia,collococca,,,CORDCO,NA
Boraginaceae,Cordia,correae,NA,NA,CORDC1,NA
Boraginaceae,Cordia,curassavica,,,CORDCU,NA
Boraginaceae,Cordia,cymosa,,,CORDCY,M
Boraginaceae,Cordia,dentata,,,CORDDE,NA
Boraginaceae,Cordia,dwyeri,,,CORDDW,M
Boraginaceae,Cordia,eriostigma,,,CORDER,NA
Boraginaceae,Cordia,lasiocalyx,Pittier,CORL,CORDLA,M
Boraginaceae,Cordia,lucidula,,,CORDLU,T
Boraginaceae,Cordia,megalantha,,,CORDME,NA
Boraginaceae,Cordia,panamensis,L. Riley,CORP,CORDPA,U
Boraginaceae,Cordia,porcata,,,CORDPO,U
Boraginaceae,Cordia,sp.6,NA,NA,CORD6,NA
Boraginaceae,Cordia,sp.7,NA,NA,CORD7,NA
Cornaceae,Cornus,disciflora,NA,NA,CORNDI,NA
Fabaceae,Corymbosa,roseum,NA,NA,CORYRO,LIANA
Arecaceae,Corypha,umbraculifera,NA,NA,CORYUM,NA
Rubiaceae,Cosmibuena,grandiflora,NA,NA,COSMGR,NA
Rubiaceae,Cosmibuena,macrocarpa,,,COSMMA,M
Chrysobalanaceae,Couepia,chocolate,,,COUE2,T
Chrysobalanaceae,Couepia,sp.1,NA,NA,COUE1,NA
Apocynaceae,Couma,macrocarpa,NA,NA,COUMMA,NA
Lecythidaceae,Couratari,guianensis,Aubl.,COUP,COURPA,T
Lecythidaceae,Couroupita,guianensis,,,COU3GU,T
Cecropiaceae,Coussapoa,villosa,NA,NA,COUSVI,LIANA
Rubiaceae,Coussarea,cerroazulensis,,,COU2CE,U
Rubiaceae,Coussarea,curvigemmia,Dwyer,COUC,COU2CU,U
Rubiaceae,Coussarea,latifolia,,,COU2LA,U
Rubiaceae,Coussarea,loftonii,,,COU2LO,U
Rubiaceae,Coussarea,sp.1,NA,NA,COU21,NA
Rubiaceae,Coutarea,hexandra,(Jacq.) K. Schum.,COUH,COUTHE,U
Capparaceae,Crateva,tapia,,,CRATTA,NA
Annonaceae,Cremastosperma,panamense,Maas,CREP,CREMPA,S
Annonaceae,Cremastosperma,sp.2,NA,NA,CREM2,NA
Annonaceae,Cremastosperma,sp.4,NA,NA,CREM4,NA
Bignoniaceae,Crescentia,alata,,,CRESAL,NA
Bignoniaceae,Crescentia,cujete,,,CRESCU,NA
Celastraceae,Crossopetalum,coba,,,CROS1,NA
Celastraceae,Crossopetalum,parviflorum,(Hemsl.) Lundell,CRO3,CROSPA,U
Euphorbiaceae,Croton,billbergianus,Müll. Arg.,CROB,CROTBI,U
Euphorbiaceae,Croton,draco,Schltdl.,CROP,CROTDR,M
Euphorbiaceae,Croton,lanjouwensis,,,CROTLA,NA
Euphorbiaceae,Croton,pachypodus,,,CROTPA,NA
Euphorbiaceae,Croton,santaritensis,,,CROTSA,NA
Euphorbiaceae,Croton,schiedeanus,,,CROTSC,NA
Euphorbiaceae,Croton,sp.2,NA,NA,CROT2,NA
Euphorbiaceae,Croton,sp.3,NA,NA,CROT3,NA
Fabaceae:Caesal.,Crudia,acuminata,,,CRUDAC,NA
Arecaceae,Cryosophila,warscewiczii,(H. Wendl.) Bartlett,CRYW,CRYOWA,M palma
Lauraceae,Cryptocarya,aschersoniana,NA,NA,CRYPAS,NA
Sapindaceae,Cupania,cinerea,Poepp.,CUPC,CUPACI,M
Sapindaceae,Cupania,guatemalensis,,,CUPAGU,NA
Sapindaceae,Cupania,latifolia,Kunth,CUPL,CUPALA,T
Sapindaceae,Cupania,rufescens,Triana & Planch.,CUPR,CUPARU,T
Sapindaceae,Cupania,scrobiculata,Rich.,CUP2,CUPASC,M
Sapindaceae,Cupania,seemannii,Seem.,CUPS,CUPASY,NA
Sapindaceae,Cupania,sp.1,NA,NA,CUPA1,NA
Sapindaceae,Cupania,sp.2,NA,NA,CUPA2,NA
Sapindaceae,Cupania,sp.3,NA,NA,CUPA3,NA
Sapindaceae,Cupania,sp.5,NA,NA,CUPA5,NA
Dilleniaceae,Curatella,americana,,,CURAAM,U
Cyatheaceae,Cyathea,multiflora,,,CYATMU,NA
Cyatheaceae,Cyathea,petiolata,(Hook.) R.M. Tryon,CNEP,CNEMPE,S helecho
Myrsinaceae,Cybianthus,schlimii,,,CYBISC,NA
Myrsinaceae,Cybianthus,sp.1,NA,NA,CYBI1,NA
Bignoniaceae,Cydista,aequinoctialis,Seibert,CYDA,CYDIAE,LIANA
Bignoniaceae,Cydista,heterophylla,Seibert,CYDH,CYDIHE,LIANA
Annonaceae,Cymbopetalum,lanugipetalum,Schery,CYML,CYM1LA,S
Annonaceae,Cymbopetalum,torulosum,,,CYM1TO,NA
Fabaceae:faboid.,Cymbosema,roseum,(Benth.) N. Zamora,CYMR,CYMBRO,VINE
Fabaceae:Caesal.,Cynometra,bauhiniifolia,Benth.,CYNB,CYNOBA,T
Cyrillaceae,Cyrilla,racemiflora,,,CYRIRA,NA
Fabaceae,Dalbergia,monetaria,L. f.,DALM,DALBMO,LIANA
Fabaceae:Papil.,Dalbergia,retusa,Hemsl.,DALR,DALBRE,T
Euphorbiaceae,Dalechampia,dioscoreifolia,Poepp.,DALD,DALEDI,VINE
Thymelaeaceae,Daphnopsis,americana,,,DAPHAM,M
Thymelaeaceae,Daphnopsis,correae,,,DAPHCO,NA
Dilleniaceae,Davilla,nitida,(Vahl) Kubitzki,DAVN,DAVINI,LIANA
Fabaceae:Caesal.,Delonix,regia,NA,NA,DELORE,NA
Araliaceae,Dendropanax,arboreus,(L.) Decne. & Planch.,DENA,DENDAR,T
Araliaceae,Dendropanax,globosus,,,DENDGL,NA
Araliaceae,Dendropanax,punctatus,,,DENDPU,NA
Araliaceae,Dendropanax,sessiliflorus,,,DENDSE,NA
Fabaceae-Papilionoideae,Desmodium,axillare,(SW.)DC.,DESA,DESMAX,VINE
Arecaceae,Desmoncus,orthacanthos,Mart.,DESI,DES1OR,LIANA
Annonaceae,Desmopsis,bibracteata,,,DESMBI,NA
Annonaceae,Desmopsis,maxonii,,,DESMMA,NA
Annonaceae,Desmopsis,panamensis,(B.L. Rob.) Saff.,DESP,DES2PA,U
Fabaceae:Caesal.,Dialium,guianense,(Aubl.) Sandwith,DIAG,DIALGU,T
Dichapetalaceae,Dichapetalum,axillare,,,DICHAX,U
Sapindaceae,Dilodendron,costaricense,,,DILOCO,NA
Fabaceae,Dioclea,guianensis,Benth.,DIOG,DIOCGU,LIANA
Fabaceae,Dioclea,reflexa,Hook. f.,DIOR,DIOCRE,LIANA
Fabaceae:Papil.,Dioclea,sp.1,NA,NA,DIOC1,LIANA
Fabaceae,Dioclea,wilsonii,Standl.,DIOW,DIOCWI,LIANA
Dioscoreaceae,Dioscorea,alata,L.,DIO1,DIO1AL,VINE
Dioscoreaceae,Dioscorea,haenkeana,C. Presl,DIOH,DIO1HA,VINE
Dioscoreaceae,Dioscorea,pilosiuscula,Bertero ex Spreng.,DIOS,DIO1PI,VINE
Dioscoreaceae,Dioscorea,polygonoides,Humb. & Bonpl. ex Willd.,DIOP,DIO1PO,VINE
Dioscoreaceae,Dioscorea,urophylla,Hemsl.,DIOU,DIO1UR,VINE
Ebenaceae,Diospyros,artanthifolia,Mart. ex Miq.,DIO2,DIO2AR,M
Fabaceae:Papil.,Diphysa,americana,,,DIPHRO,NA
Fabaceae:Papil.,Diplotropis,purpurea,,,DIPLPU,NA
Fabaceae:Papil.,Dipteryx,oleifera,Benth.,DIPP,DIPTPA,NA
Icacinaceae,Discophora,guianensis,Miers,DISG,DISCGU,U
Dilleniaceae,Doliocarpus,1,NA,NA,DOLI1,LIANA
Dilleniaceae,Doliocarpus,dentatus,(Aubl.) Standl.,DOLD,DOLIDE,LIANA
Dilleniaceae,Doliocarpus,major,J.F. Gmel.,DOL1,DOLIMA,LIANA
Dilleniaceae,Doliocarpus,multiflorus,Standl.,DOL2,DOLIMU,LIANA
Dilleniaceae,Doliocarpus,olivaceus,Sprague & R.O. Williams ex Standl.,DOLO,DOLIOL,LIANA
Euphorbiaceae,Drypetes,coba,,,DRYP2,NA
Euphorbiaceae,Drypetes,aff.amazonica,,,DRYPAM,NA
Euphorbiaceae,Drypetes,sp.1,NA,NA,DRYP1,NA
Euphorbiaceae,Drypetes,standleyi,G.L. Webster,DRYS,DRYPST,T
Annonaceae,Duguetia,confusa,,,DUGUCO,NA
Fabaceae:Papil.,Dussia,atropurpurea,"N. Zamora, R.T. Penn. & C.H. Stirt.",DUSA,DUSSAT,NA
Fabaceae:Papil.,Dussia,macroprophyllata,,,DUSSMA,NA
Fabaceae:Papil.,Dussia,sp.1,NA,NA,DUSS1,NA
Fabaceae:Papil.,Dussia,sp.2,NA,NA,DUSS2,NA
Fabaceae:Papil.,Dussia,sp.3,NA,NA,DUSS3,NA
Fabaceae:Papil.,Dussia,sp.4,NA,NA,DUSS4,NA
Fabaceae:Papil.,Dussia,sp.5,NA,NA,DUSS5,NA
Fabaceae:Papil.,Dussia,sp.6,NA,NA,DUSS6,NA
Fabaceae:Papil.,Dussia,tessmannii,,,DUSSTE,NA
Clusiaceae,Dystovomita,paniculata,,,DYSTPA,U
Sapotaceae,Ecclinusa,lanceolata,,,ECCLLA,NA
Rubiaceae,Elaeagia,auriculata,,,ELA1AU,U
Rubiaceae,Elaeagia,nitidifolia,,,ELA1NI,U
Arecaceae,Elaeis,oleifera,(Kunth) Cortés ex Prain,ELAO,ELAEOL,U palma
Sapotaceae,Elaeoluma,sp.1,NA,NA,ELA21,NA
Lauraceae,Endlicheria,browniana,,,ENDLBR,NA
Fabaceae,Entada,gigas,DC.,ENTM,ENTAMO,LIANA
Fabaceae,Entadopsis,polystachya,NA,NA,ADE4PO,LIANA
Fabaceae:Mimos.,Enterolobium,cyclocarpum,(Jacq.) Griseb.,ENTC,ENTECY,T
Fabaceae:Mimos.,Enterolobium,schomburgkii,Benth.,ENTS,ENTESC,T
Turneraceae,Erblichia,odorata,,,ERBLOD,NA
Vochysiaceae,Erisma,blancoa,,,ERISBL,T
Fabaceae:Papil.,Erythrina,costaricensis,Micheli,ERYC,ERY1CO,U
Fabaceae:Papil.,Erythrina,fusca,,,ERY1FU,T
Fabaceae:Papil.,Erythrina,poeppigiana,,,ERY1PO,U
Fabaceae:Papil.,Erythrina,rubrinervia,NA,NA,ERY1RU,NA
Erythroxylaceae,Erythroxylum,parita,NA,NA,ERY22,NA
Erythroxylaceae,Erythroxylum,citrifolium,,,ERY2CI,U
Erythroxylaceae,Erythroxylum,macrophyllum,Cav.,ERYM,ERY2MA,M
Erythroxylaceae,Erythroxylum,panamense,Turcz.,ERYP,ERY2PA,U
Lecythidaceae,Eschweilera,aff.angustifolia,,,ESCHAN,NA
Lecythidaceae,Eschweilera,amplexifolia,,,ESCHAM,NA
Lecythidaceae,Eschweilera,calyculata,,,ESCHCA,NA
Lecythidaceae,Eschweilera,jacquelyniae,,,ESCHJA,NA
Lecythidaceae,Eschweilera,panamensis,,,ESCHPA,T
Lecythidaceae,Eschweilera,pittieri,,,ESCHPI,T
Lecythidaceae,Eschweilera,sessilis,,,ESCHSE,NA
Lecythidaceae,Eschweilera,sp.3,NA,NA,ESCH3,NA
Lecythidaceae,Eschweilera,sp.6,NA,NA,ESCH6,NA
Lecythidaceae,Eschweilera,sp.7,NA,NA,ESCH7,NA
Lecythidaceae,Eschweilera,sp.8,NA,NA,ESCH8,NA
Rutaceae,Esenbeckia,panamensis,,,ESENPA,S
Myrtaceae,Eugenia,austin-smithii,,,EUGEAU,NA
Myrtaceae,Eugenia,coloradoensis,Standl.,EUGC,EUGECO,T
Myrtaceae,Eugenia,cricamolensis,,,EUGECR,U
Myrtaceae,Eugenia,galalonensis,(C. Wright ex Griseb.) Krug & Urb.,EUGG,EUGEGA,U
Myrtaceae,Eugenia,nesiotica,Standl.,EUGN,EUGENE,M
Myrtaceae,Eugenia,octopleura,Krug & Urb.,EUG1,EUGEOC,NA
Myrtaceae,Eugenia,oerstediana,O. Berg,EUGO,EUGEOE,M
Myrtaceae,Eugenia,principium,McVaugh,EUGP,EUGEPR,S
Myrtaceae,Eugenia,salamensis,,,EUGESA,M
Myrtaceae,Eugenia,sp.10,NA,NA,EUGE10,NA
Myrtaceae,Eugenia,sp.13,NA,NA,EUGE13,NA
Myrtaceae,Eugenia,sp.16,NA,NA,EUGE16,NA
Myrtaceae,Eugenia,sp.18,NA,NA,EUGE18,NA
Myrtaceae,Eugenia,sp.19,NA,NA,EUGE19,NA
Myrtaceae,Eugenia,sp.20,NA,NA,EUGE20,NA
Myrtaceae,Eugenia,sp.22,NA,NA,EUGE22,NA
Myrtaceae,Eugenia,sp.24,NA,NA,EUGE24,NA
Myrtaceae,Eugenia,sp.26,NA,NA,EUGE26,NA
Myrtaceae,Eugenia,sp.27,NA,NA,EUGE27,NA
Myrtaceae,Eugenia,sp.5,NA,NA,EUGE5,NA
Myrtaceae,Eugenia,sp.6,NA,NA,EUGE6,NA
Myrtaceae,Eugenia,sp.7,NA,NA,EUGE7,NA
Myrtaceae,Eugenia,sp.8,NA,NA,EUGE8,NA
Myrtaceae,Eugenia,sp.9,NA,NA,EUGE9,NA
Myrtaceae,Eugenia,venezuelensis,O. Berg,EUGV,EUGEVE,S
Euphorbiaceae,Euphorbia,elata,,,EUPHEL,S
Arecaceae,Euterpe,precatoria,Mart.,EUTP,EUTEPR,M palma
Rubiaceae,Exostema,mexicanum,,,EXOSME,M
Rubiaceae,Faramea,coba,,,FARA2,NA
Rubiaceae,Faramea,eurycarpa,,,FARAEU,S
Rubiaceae,Faramea,jefensis,,,FARAJE,NA
Rubiaceae,Faramea,luteovirens,Standl.,FARL,FARALU,S
Rubiaceae,Faramea,multiflora,,,FARAMU,S
Rubiaceae,Faramea,occidentalis,(L.) A. Rich.,FARO,FARAOC,U
Rubiaceae,Faramea,papillata,,,FARAP2,NA
Rubiaceae,Faramea,papirifolia,,,FARAP1,S
Rubiaceae,Faramea,parvibractea,,,FARAPA,NA
Rubiaceae,Faramea,sp.1,NA,NA,FARA1,NA
Rubiaceae,Faramea,suerrensis,,,FARASU,S
Rubiaceae,Ferdinandusa,panamensis,,,FERDPA,NA
Cucurbitaceae,Fevillea,cordifolia,L.,FEVC,FEVICO,VINE
Moraceae,Ficus,brevibracteata,,,FICUBR,T
Moraceae,Ficus,bullenei,I.M. Johnst.,FIBU,FICUBU,T
Moraceae,Ficus,citrifolia,Mill.,FICI,FICUCI,T
Moraceae,Ficus,colubrinae,Standl.,FIC1,FICUC1,T
Moraceae,Ficus,costaricana,(Liebm.) Miq.,FIC2,FICUC2,T
Moraceae,Ficus,dugandi,NA,NA,FICUDU,NA
Moraceae,Ficus,insipida,Willd.,FIIN,FICUIN,T
Moraceae,Ficus,maxima,Mill.,FIMA,FICUMA,T
Moraceae,Ficus,nymphaeifolia,Mill.,FINY,FICUNY,H
Moraceae,Ficus,obtusifolia,Kunth,FIOB,FICUOB,T
Moraceae,Ficus,parensis,NA,NA,FICUPA,NA
Moraceae,Ficus,pertusa,L. f.,FIP2,FICUPE,T
Moraceae,Ficus,petenensis,,,FICUP1,T
Moraceae,Ficus,popenoei,Standl.,FIPO,FICUPO,T
Moraceae,Ficus,sp.10,NA,NA,FICU10,NA
Moraceae,Ficus,sp.11,NA,NA,FICU11,NA
Moraceae,Ficus,sp.12,NA,NA,FICU12,NA
Moraceae,Ficus,sp.13,NA,NA,FICU13,NA
Moraceae,Ficus,sp.3,NA,NA,FICU3,NA
Moraceae,Ficus,sp.4,NA,NA,FICU4,NA
Moraceae,Ficus,sp.5,NA,NA,FICU5,NA
Moraceae,Ficus,sp.6,NA,NA,FICU6,NA
Moraceae,Ficus,sp.8,NA,NA,FICU8,NA
Moraceae,Ficus,sp.9,NA,NA,FICU9,NA
Moraceae,Ficus,tonduzii,Standl.,FITO,FICUTO,M
Moraceae,Ficus,trigonata,L.,FITR,FICUTR,T
Moraceae,Ficus,yoponensis,Desv.,FIYO,FICUYO,T
Asclepiadaceae,Fischeria,blepharopetala,S.F. Blake,FISB,FISCBL,VINE
Fabaceae:Papil.,Fissicalyx,fendleri,Benth.,FIS1,FISSFE,M
Flacourtiaceae,Flacourtia,jangomas,NA,NA,FLACJA,NA
Fabaceae:Papil.,Flemingia,strobilifera,,,FLEMST,S
Apocynaceae,Forsteronia,myriantha,Donn. Sm.,FORM,FORSMY,LIANA
Apocynaceae,Forsteronia,peninsularis,Woodson,FORP,FORSPE,LIANA
Apocynaceae,Forsteronia,viridescens,S.F. Blake,FORV,FORSVI,LIANA
Theaceae,Freziera,calophylla,,,FREZCA,NA
Onagraceae,Fuchsia,paniculata,NA,NA,FUCHPA,NA
Rutaceae,Galipea,panamensis,,,GALIPA,NA
Clusiaceae,Garcinia,intermedia,(Pittier) Hammel,RHEE,GAR2IN,M
Clusiaceae,Garcinia,madruno,(Kunth) Hammel,RHEA,GAR2MA,M
Clusiaceae,Garcinia,magnifolia,,,GAR2M1,NA
Clusiaceae,Garcinia,sp.1,NA,NA,GAR21,NA
Rubiaceae,Genipa,americana,L.,GENA,GENIAM,M
Rubiaceae,Genipa,curviflora,,,GENICU,NA
Rubiaceae,Genipa,williamsii,,,GENIWI,NA
Arecaceae,Geonoma,congesta,H. Wendl. ex Spruce,GEC2,GEONCO,S palma
Arecaceae,Geonoma,cuneata,H. Wendl. ex Spruce,GEOC,GEONCU,S palma
Arecaceae,Geonoma,deversa,,,GEONDE,S palma
Arecaceae,Geonoma,interrupta,(Ruiz & Pav.) Mart.,GEOI,GEONIN,U palma
Fabaceae:Papil.,Gliricidia,sepium,,,GLIRSE,M
Violaceae,Gloeospermum,blakeanum,,,GLOEBL,S
Violaceae,Gloeospermum,sphaerocarpum,,,GLOESP,S
Verbenaceae,Gmelina,arborea,,,GMELAR,NA
Gnetaceae,Gnetum,leyboldii,Tul.,GNEL,GNETLE,LIANA
Bignoniaceae,Godmania,aesculifolia,,,GODMAE,M
Rubiaceae,Gonzalagunia,panamensis,,,GONZPA,S
Rubiaceae,Gonzalagunia,rudis,,,GONZRU,S
Rubiaceae,Gonzalagunia,sp.1,NA,NA,GONZ1,NA
Theaceae,Gordonia,brandegeei,,,GORDBR,T
Theaceae,Gordonia,fruticosa,,,LAPLFR,NA
Malvaceae,Gossypium,barbadense,,,GOSSBA,NA
Rhamnaceae,Gouania,adenophera,Pilg.,GOUA,GOUAAD,LIANA
Rhamnaceae,Gouania,colombiana,NA,NA,GOUACO,LIANA
Rhamnaceae,Gouania,lupuloides,(L.) Urb.,GOUL,GOUALU,LIANA
Melastomataceae,Graffenrieda,galeottii,,,GRAFGA,M
Lecythidaceae,Grias,cauliflora,L.,GRIF,GRIACA,U
Nyctaginaceae,Guapira,campochagres,NA,NA,NYC1,NA
Nyctaginaceae,Guapira,costaricana,,,GUAPCO,T
Nyctaginaceae,Guapira,standleyana,Woodson,GUAS,GUAPST,T
Meliaceae,Guarea,arbusto,,,GUAR9,S
Meliaceae,Guarea,sherman,,,GUAR2,T
Meliaceae,Guarea,bullata,C. DC.,GUA3,GUARSP,NA
Meliaceae,Guarea,glabra,,,GUARGL,M
Meliaceae,Guarea,grandifolia,C. DC.,GUA1,GUARGR,T
Meliaceae,Guarea,guidonia,(L.) Sleumer,GUA2,GUARGU,M
Meliaceae,Guarea,kunthiana,A. Juss.,GUAK,GUARKU,M
Meliaceae,Guarea,macropetala,,,GUARMA,NA
Meliaceae,Guarea,pterorhachis,,,GUARPT,M
Meliaceae,Guarea,rhopalocarpa,,,GUARRH,NA
Meliaceae,Guarea,sp.1,NA,NA,GUAR1,NA
Meliaceae,Guarea,sp.4,NA,NA,GUAR4,NA
Meliaceae,Guarea,sp.6,NA,NA,GUAR6,NA
Meliaceae,Guarea,sp.8,NA,NA,GUAR8,NA
Meliaceae,Guarea,ternifoliola,NA,NA,GUARTE,NA
Annonaceae,Guatteria,flor_roja,,,GUAT3,NA
Annonaceae,Guatteria,aberrans,NA,NA,GUATAB,NA
Annonaceae,Guatteria,alata,,,GUATA1,NA
Annonaceae,Guatteria,allenii,,,GUATAL,NA
Annonaceae,Guatteria,amplifolia,Triana & Planch.,GUAA,GUATAM,U
Annonaceae,Guatteria,diospyroides,,,GUATIN,NA
Annonaceae,Guatteria,dolichopoda,,,GUATDO,NA
Annonaceae,Guatteria,dumetorum,R.E. Fr.,GUAD,GUATDU,T
Annonaceae,Guatteria,jefensis,,,GUATJE,NA
Annonaceae,Guatteria,recurvisepala,,,GUATRE,NA
Annonaceae,Guatteria,sessilicarpa,,,GUATSE,U
Annonaceae,Guatteria,sp.5,NA,NA,GUAT5,NA
Annonaceae,Guatteria,sp.7,NA,NA,GUAT7,NA
Sterculiaceae,Guazuma,ulmifolia,Lam.,GUAU,GUAZUL,T
Rubiaceae,Guettarda,crispiflora,,,GUETCR,M
Rubiaceae,Guettarda,foliacea,Standl.,GUEF,GUETFO,U
Rubiaceae,Guettarda,odorata,,,GUETOD,NA
Rubiaceae,Guettarda,ramuliflora,,,GUETRA,NA
Cucurbitaceae,Gurania,coccinea,Cogn.,GURC,GURACO,VINE
Cucurbitaceae,Gurania,makoyana,(Lem.) Cogn.,GUR1,GURAMA,VINE
Cucurbitaceae,Gurania,tubulosa,Cogn.,GUR2,GURATU,VINE
Lecythidaceae,Gustavia,dubia,,,GUSTDU,U
Lecythidaceae,Gustavia,fosteri,S.A. Mori,GUSF,GUSTFO,U
Lecythidaceae,Gustavia,grandibracteata,NA,NA,GUSTGR,NA
Lecythidaceae,Gustavia,hexapetala,,,GUSTHE,NA
Lecythidaceae,Gustavia,nana,,,GUSTNA,S
Lecythidaceae,Gustavia,sp.1,NA,NA,GUST1,NA
Lecythidaceae,Gustavia,superba,(Kunth) O. Berg,GUSS,GUSTSU,M
Bombacaceae,Gyranthera,darienensis,,,GYRADA,M
Hernandiaceae,Gyrocarpus,americanus,NA,NA,GYROAM,NA
Rubiaceae,Hamelia,axillaris,Sw.,HAM1,HAMEAX,S
Rubiaceae,Hamelia,macrantha,,,HAMEMA,NA
Rubiaceae,Hamelia,patens,Jacq.,HAMP,HAMEPA,S
Malvaceae,Hampea,appendiculata,(Donn. Sm.) Standl.,HAM2,HAMPAP,M
Malvaceae,Hampea,micrantha,,,HAMPMI,S
Flacourtiaceae,Hasseltia,floribunda,Kunth,HASF,HASSFL,M
Chloranthaceae,Hedyosmum,bonplandianum,,,HEDYBO,U
Chloranthaceae,Hedyosmum,costaricense,,,HEDYCO,NA
Chloranthaceae,Hedyosmum,mexicanum,NA,NA,HEDYME,NA
Chloranthaceae,Hedyosmum,scaberrimum,,,HEDYSC,U
Olacaceae,Heisteria,acuminata,(Humb. & Bonpl.) Engl.,HEIA,HEISAC,U
Olacaceae,Heisteria,concinna,Standl.,HEIC,HEISCO,M
Olacaceae,Heisteria,costaricensis,,,HEISC1,NA
Olacaceae,Heisteria,macrophylla,,,HEISMA,NA
Moraceae,Helicostylis,tovarensis,,,HEL1TO,NA
Sterculiaceae,Helicteres,guazumifolia,,,HEL2GU,S
Tiliaceae,Heliocarpus,americanus,L.,HELP,HELIAM,T
Melastomataceae,Henriettea,succosa,,,HENRSU,U
Melastomataceae,Henriettella,fascicularis,,,HENRFA,M
Melastomataceae,Henriettella,trachyphylla,,,HENRTR,NA
Melastomataceae,Henriettella,tuberculosa,,,HENRTU,NA
Hernandiaceae,Hernandia,didymantha,,,HERNDI,T
Hernandiaceae,Hernandia,stenura,,,HERNST,T
Acanthaceae,Herpetacanthus,panamensis,Leonard,HEPA,HERPPA,NA
Sterculiaceae,Herrania,nycterodendron,,,HERRNY,NA
Sterculiaceae,Herrania,purpurea,(Pittier) R.E. Schult.,HERP,HERRPU,S
Asteraceae,Heterocondylus,vitalbae,NA,NA,HET1VI,LIANA
Malpighiaceae,Heteropteris,laurifolia,(L.) A. Juss.,HETL,HETELA,LIANA
Malpighiaceae,Heteropteris,panamense,Cuatrec. & Croat,HETP,HETEPA,LIANA
Euphorbiaceae,Hevea,brasiliensis,,,HEVEBR,T
Euphorbiaceae,Hieronyma,alchorneoides,Allemão,HYEL,HYERAL,NA
Euphorbiaceae,Hieronyma,oblonga,,,HYEROB,NA
Hippocrateaceae,Hippocratea,volubilis,L.,HIPV,HIPPVO,LIANA
Euphorbiaceae,Hippomane,mancinella,,,HIPPMA,NA
Malpighiaceae,Hiraea,fagifolia,NA,NA,HIRAF1,LIANA
Malpighiaceae,Hiraea,faginea,(Sw.) Nied.,HIRF,HIRAFA,LIANA
Malpighiaceae,Hiraea,grandifolia,Standl. & L.O. Williams,HIRG,HIRAGR,VINE
Malpighiaceae,Hiraea,reclinata,Jacq.,HIR1,HIRARE,LIANA
Malpighiaceae,Hiraea,smilacina,Standl.,HIRQ,HIRAQU,LIANA
Chrysobalanaceae,Hirtella,americana,L.,HIRA,HIRTAM,T
Chrysobalanaceae,Hirtella,guatemalensis,,,HIRTGU,M
Chrysobalanaceae,Hirtella,latifolia,,,HIRTLA,M
Chrysobalanaceae,Hirtella,racemosa,Lam.,HIR2,HIRTRA,S
Chrysobalanaceae,Hirtella,sp.5,NA,NA,HIRT5,NA
Chrysobalanaceae,Hirtella,triandra,Sw.,HIRT,HIRTTR,M
Chrysobalanaceae,Hirtella,tubiflora,,,HIRTTU,NA
Flacourtiaceae,Homalium,racemosum,,,HOMARA,NA
Rutaceae,Hortia,colombiana,,,HORTCO,T
Humiriaceae,Humiriastrum,diguense,(Cuatrec.) Cuatrec.,HUMD,HUMIDI,T
Euphorbiaceae,Hura,crepitans,L.,HURC,HURACR,T
Violaceae,Hybanthus,attenuatus,,,HYBAAT,NA
Violaceae,Hybanthus,denticulatus,,,HYBADE,S
Violaceae,Hybanthus,prunifolius,(Humb. & Bonpl. ex Roem. & Schult.) Schulze-Menz,HYBP,HYBAPR,S
Hippocrateaceae,Hylenaea,praecelsa,(Miers) A.C. Sm.,HYLP,HYLEPR,LIANA
Fabaceae:Caesal.,Hymenaea,courbaril,L.,HYMC,HYMECO,T
Fabaceae:Papil.,Hymenolobium,mesoamericanum,,,HYM1ME,T
